STATEFP,COUNTYFP,COUNTY,STATE
13,239,Quitman County,Georgia
18,111,Newton County,Indiana
19,053,Decatur County,Iowa
24,013,Carroll County,Maryland
29,155,Pemiscot County,Missouri
36,005,Bronx County,New York
36,093,Schenectady County,New York
45,021,Cherokee County,South Carolina
48,495,Winkler County,Texas
37,173,Swain County,North Carolina
05,137,Stone County,Arkansas
18,035,Delaware County,Indiana
21,167,Mercer County,Kentucky
13,287,Turner County,Georgia
28,097,Montgomery County,Mississippi
28,127,Simpson County,Mississippi
19,117,Lucas County,Iowa
29,043,Christian County,Missouri
39,067,Harrison County,Ohio
46,045,Edmunds County,South Dakota
48,089,Colorado County,Texas
48,291,Liberty County,Texas
48,379,Rains County,Texas
01,061,Geneva County,Alabama
32,017,Lincoln County,Nevada
18,031,Decatur County,Indiana
18,033,DeKalb County,Indiana
20,181,Sherman County,Kansas
31,181,Webster County,Nebraska
46,097,Miner County,South Dakota
55,015,Calumet County,Wisconsin
05,077,Lee County,Arkansas
18,129,Posey County,Indiana
22,045,Iberia Parish,Louisiana
29,097,Jasper County,Missouri
36,073,Orleans County,New York
36,001,Albany County,New York
48,079,Cochran County,Texas
04,021,Pinal County,Arizona
05,011,Bradley County,Arkansas
13,067,Cobb County,Georgia
18,149,Starke County,Indiana
19,023,Butler County,Iowa
19,017,Bremer County,Iowa
27,129,Renville County,Minnesota
27,089,Marshall County,Minnesota
40,149,Washita County,Oklahoma
40,025,Cimarron County,Oklahoma
46,093,Meade County,South Dakota
48,331,Milam County,Texas
49,007,Carbon County,Utah
51,075,Goochland County,Virginia
55,055,Jefferson County,Wisconsin
72,075,Juana Díaz Municipio,Puerto Rico
22,003,Allen Parish,Louisiana
08,021,Conejos County,Colorado
18,015,Carroll County,Indiana
37,053,Currituck County,North Carolina
13,263,Talbot County,Georgia
55,071,Manitowoc County,Wisconsin
42,123,Warren County,Pennsylvania
12,129,Wakulla County,Florida
12,081,Manatee County,Florida
20,125,Montgomery County,Kansas
25,007,Dukes County,Massachusetts
31,127,Nemaha County,Nebraska
31,153,Sarpy County,Nebraska
36,097,Schuyler County,New York
48,295,Lipscomb County,Texas
42,057,Fulton County,Pennsylvania
54,089,Summers County,West Virginia
56,005,Campbell County,Wyoming
12,027,DeSoto County,Florida
13,177,Lee County,Georgia
16,053,Jerome County,Idaho
17,175,Stark County,Illinois
19,197,Wright County,Iowa
22,043,Grant Parish,Louisiana
29,103,Knox County,Missouri
20,063,Gove County,Kansas
31,143,Polk County,Nebraska
40,045,Ellis County,Oklahoma
48,009,Archer County,Texas
51,678,Lexington city,Virginia
55,005,Barron County,Wisconsin
21,187,Owen County,Kentucky
05,143,Washington County,Arkansas
17,087,Johnson County,Illinois
27,091,Martin County,Minnesota
20,093,Kearny County,Kansas
20,169,Saline County,Kansas
18,003,Allen County,Indiana
55,123,Vernon County,Wisconsin
01,023,Choctaw County,Alabama
18,075,Jay County,Indiana
21,105,Hickman County,Kentucky
24,023,Garrett County,Maryland
38,017,Cass County,North Dakota
37,097,Iredell County,North Carolina
47,183,Weakley County,Tennessee
37,009,Ashe County,North Carolina
08,039,Elbert County,Colorado
13,123,Gilmer County,Georgia
17,017,Cass County,Illinois
19,123,Mahaska County,Iowa
24,027,Howard County,Maryland
28,015,Carroll County,Mississippi
20,003,Anderson County,Kansas
27,101,Murray County,Minnesota
31,019,Buffalo County,Nebraska
46,015,Brule County,South Dakota
48,119,Delta County,Texas
49,013,Duchesne County,Utah
55,021,Columbia County,Wisconsin
21,057,Cumberland County,Kentucky
31,085,Hayes County,Nebraska
18,131,Pulaski County,Indiana
19,161,Sac County,Iowa
20,177,Shawnee County,Kansas
21,005,Anderson County,Kentucky
48,233,Hutchinson County,Texas
46,121,Todd County,South Dakota
46,115,Spink County,South Dakota
06,075,San Francisco County,California
10,001,Kent County,Delaware
20,103,Leavenworth County,Kansas
20,071,Greeley County,Kansas
26,099,Macomb County,Michigan
31,095,Jefferson County,Nebraska
35,003,Catron County,New Mexico
31,055,Douglas County,Nebraska
37,065,Edgecombe County,North Carolina
48,111,Dallam County,Texas
01,133,Winston County,Alabama
12,041,Gilchrist County,Florida
13,089,DeKalb County,Georgia
18,117,Orange County,Indiana
20,127,Morris County,Kansas
21,021,Boyle County,Kentucky
22,127,Winn Parish,Louisiana
27,109,Olmsted County,Minnesota
29,167,Polk County,Missouri
39,045,Fairfield County,Ohio
40,041,Delaware County,Oklahoma
48,299,Llano County,Texas
48,481,Wharton County,Texas
51,840,Winchester city,Virginia
55,129,Washburn County,Wisconsin
54,071,Pendleton County,West Virginia
17,055,Franklin County,Illinois
18,063,Hendricks County,Indiana
36,037,Genesee County,New York
12,053,Hernando County,Florida
37,043,Clay County,North Carolina
72,079,Lajas Municipio,Puerto Rico
48,011,Armstrong County,Texas
48,451,Tom Green County,Texas
51,081,Greensville County,Virginia
56,027,Niobrara County,Wyoming
08,009,Baca County,Colorado
13,111,Fannin County,Georgia
26,009,Antrim County,Michigan
29,127,Marion County,Missouri
31,061,Franklin County,Nebraska
37,029,Camden County,North Carolina
40,147,Washington County,Oklahoma
47,139,Polk County,Tennessee
08,121,Washington County,Colorado
13,125,Glascock County,Georgia
20,197,Wabaunsee County,Kansas
21,217,Taylor County,Kentucky
13,305,Wayne County,Georgia
26,119,Montmorency County,Michigan
29,073,Gasconade County,Missouri
20,061,Geary County,Kansas
28,007,Attala County,Mississippi
41,003,Benton County,Oregon
48,293,Limestone County,Texas
55,107,Rusk County,Wisconsin
55,135,Waupaca County,Wisconsin
40,043,Dewey County,Oklahoma
19,047,Crawford County,Iowa
19,015,Boone County,Iowa
37,145,Person County,North Carolina
29,109,Lawrence County,Missouri
72,037,Ceiba Municipio,Puerto Rico
48,431,Sterling County,Texas
47,049,Fentress County,Tennessee
04,011,Greenlee County,Arizona
21,037,Campbell County,Kentucky
33,003,Carroll County,New Hampshire
36,123,Yates County,New York
37,105,Lee County,North Carolina
45,083,Spartanburg County,South Carolina
05,063,Independence County,Arkansas
13,261,Sumter County,Georgia
18,093,Lawrence County,Indiana
18,137,Ripley County,Indiana
19,103,Johnson County,Iowa
21,131,Leslie County,Kentucky
28,145,Union County,Mississippi
26,037,Clinton County,Michigan
19,029,Cass County,Iowa
31,093,Howard County,Nebraska
27,127,Redwood County,Minnesota
48,145,Falls County,Texas
48,239,Jackson County,Texas
51,011,Appomattox County,Virginia
53,061,Snohomish County,Washington
55,001,Adams County,Wisconsin
01,111,Randolph County,Alabama
13,173,Lanier County,Georgia
05,025,Cleveland County,Arkansas
27,019,Carver County,Minnesota
48,303,Lubbock County,Texas
51,179,Stafford County,Virginia
55,047,Green Lake County,Wisconsin
12,039,Gadsden County,Florida
17,177,Stephenson County,Illinois
20,013,Brown County,Kansas
26,059,Hillsdale County,Michigan
27,055,Houston County,Minnesota
31,133,Pawnee County,Nebraska
39,015,Brown County,Ohio
51,027,Buchanan County,Virginia
53,013,Columbia County,Washington
12,055,Highlands County,Florida
17,171,Scott County,Illinois
17,081,Jefferson County,Illinois
18,139,Rush County,Indiana
28,035,Forrest County,Mississippi
21,157,Marshall County,Kentucky
26,015,Barry County,Michigan
28,137,Tate County,Mississippi
31,081,Hamilton County,Nebraska
31,101,Keith County,Nebraska
46,057,Hamlin County,South Dakota
48,399,Runnels County,Texas
49,055,Wayne County,Utah
51,109,Louisa County,Virginia
72,151,Yabucoa Municipio,Puerto Rico
16,065,Madison County,Idaho
31,125,Nance County,Nebraska
27,061,Itasca County,Minnesota
19,007,Appanoose County,Iowa
20,155,Reno County,Kansas
20,047,Edwards County,Kansas
21,169,Metcalfe County,Kentucky
21,123,Larue County,Kentucky
47,021,Cheatham County,Tennessee
48,279,Lamb County,Texas
48,369,Parmer County,Texas
51,065,Fluvanna County,Virginia
51,680,Lynchburg city,Virginia
47,145,Roane County,Tennessee
48,251,Johnson County,Texas
29,007,Audrain County,Missouri
48,035,Bosque County,Texas
47,181,Wayne County,Tennessee
38,075,Renville County,North Dakota
36,099,Seneca County,New York
21,029,Bullitt County,Kentucky
31,041,Custer County,Nebraska
21,203,Rockcastle County,Kentucky
18,007,Benton County,Indiana
40,003,Alfalfa County,Oklahoma
40,059,Harper County,Oklahoma
48,341,Moore County,Texas
72,101,Morovis Municipio,Puerto Rico
40,081,Lincoln County,Oklahoma
18,025,Crawford County,Indiana
18,127,Porter County,Indiana
48,067,Cass County,Texas
37,001,Alamance County,North Carolina
21,059,Daviess County,Kentucky
21,205,Rowan County,Kentucky
38,065,Oliver County,North Dakota
17,019,Champaign County,Illinois
21,065,Estill County,Kentucky
16,075,Payette County,Idaho
21,083,Graves County,Kentucky
19,179,Wapello County,Iowa
47,065,Hamilton County,Tennessee
19,191,Winneshiek County,Iowa
19,003,Adams County,Iowa
17,159,Richland County,Illinois
17,169,Schuyler County,Illinois
17,163,St. Clair County,Illinois
51,049,Cumberland County,Virginia
55,105,Rock County,Wisconsin
55,095,Polk County,Wisconsin
51,013,Arlington County,Virginia
55,119,Taylor County,Wisconsin
51,093,Isle of Wight County,Virginia
27,099,Mower County,Minnesota
27,103,Nicollet County,Minnesota
30,023,Deer Lodge County,Montana
27,117,Pipestone County,Minnesota
48,055,Caldwell County,Texas
51,103,Lancaster County,Virginia
29,041,Chariton County,Missouri
27,147,Steele County,Minnesota
29,053,Cooper County,Missouri
27,153,Todd County,Minnesota
29,057,Dade County,Missouri
19,071,Fremont County,Iowa
18,021,Clay County,Indiana
51,133,Northumberland County,Virginia
13,115,Floyd County,Georgia
17,027,Clinton County,Illinois
20,057,Ford County,Kansas
13,129,Gordon County,Georgia
18,095,Madison County,Indiana
20,135,Ness County,Kansas
16,063,Lincoln County,Idaho
72,067,Hormigueros Municipio,Puerto Rico
42,131,Wyoming County,Pennsylvania
18,145,Shelby County,Indiana
42,081,Lycoming County,Pennsylvania
42,087,Mifflin County,Pennsylvania
27,161,Waseca County,Minnesota
26,093,Livingston County,Michigan
29,133,Mississippi County,Missouri
31,087,Hitchcock County,Nebraska
26,143,Roscommon County,Michigan
37,199,Yancey County,North Carolina
29,011,Barton County,Missouri
27,105,Nobles County,Minnesota
37,171,Surry County,North Carolina
31,123,Morrill County,Nebraska
31,135,Perkins County,Nebraska
38,051,McIntosh County,North Dakota
35,021,Harding County,New Mexico
39,065,Hardin County,Ohio
29,141,Morgan County,Missouri
38,095,Towner County,North Dakota
27,085,McLeod County,Minnesota
29,145,Newton County,Missouri
05,039,Dallas County,Arkansas
26,113,Missaukee County,Michigan
29,149,Oregon County,Missouri
37,025,Cabarrus County,North Carolina
27,123,Ramsey County,Minnesota
39,083,Knox County,Ohio
39,089,Licking County,Ohio
31,029,Chase County,Nebraska
05,053,Grant County,Arkansas
31,069,Garden County,Nebraska
27,159,Wadena County,Minnesota
55,027,Dodge County,Wisconsin
